Mountain/Area,Northing,Easting,Mountain Elevation (m),Timberline Elevation (m)
Knaben,58.70,6.99,971.,754.
Åseral,58.80,7.27,1026.,810.
Valle,59.21,7.59,1161.,1000.
Valle,59.21,7.59,1161.,1000.
Hovden,59.60,7.31,1300.,1030.
Bjåen,59.62,7.58,1303.,1100.
Kalhovd,60.05,8.47,1340.,1110.
Nordkinn,70.67,27.33,338.,200.
Imingfjell,60.21,8.62,1320.,1135.
Vastulan,60.25,8.44,1437.,1116.
Tunhovd,60.34,8.92,1314.,1100.
Lyngdal N,58.62,7.1,846.,700.
Geilo,60.59,8.10,1859.,1125.
Gråhø,61.40,9.00,1779.,1130.
Gjendesheim,61.50,8.76,1743.,1170.
Selskampen,61.50,9.10,1481.,1223.
Sikilsdalshorn,61.50,9.00,1565.,1281.
Nipfjället,61.92,12.52,1191.,920.
Sølnkletten,62.00,10.29,1827.,1080.
Brattriet,62.43,12.37,1121.,955.
Helagsstöten,62.54,12.28,1796.,980.
Ormruet,62.58,12.58,1100.,900.
Getryggen,63.11,12.18,1382.,830.
Snasahögarne,63.13,12.20,1462.,800.
Ottfjället,63.21,13.28,1265.,861.
Gåsen,63.21,13.28,1462.,920.
Gåsen,63.21,13.28,1462.,920.
Marsfjällen,65.13,15.12,1564.,900.
Sødra Gardfjället,65.31,15.26,1228.,800.
Ferras,66.96,16.18,1609.,740.
Kebnekaise,67.90,18.52,2106.,800.
Somaslaki,68.23,18.70,1744.,750.
Somaslaki,68.23,18.70,1744.,750.
Njunis,68.60,19.50,1717.,700.
Raisduottarhalti,69.40,21.40,1361.,600.
Beskadas,69.50,23.50,649.,500.
Hálkavárri,69.90,25.38,1045.,375.
Rásttigáisá,70.00,26.15,1067.,330.
Vieksa,70.37,25.83,369.,250.
Blåfjellet,70.54,27.16,468.,225.
Gardevarri,70.61,24.93,633.,200.
